,CAMIS,DBA,fetched_restaurant,similarity_index,error_code,record_time
0,50005183.0,COCO & CRU/SWEETWATER SOCIAL,CoCo Fresh Tea & Juice,44.0,,2018-11-18 17:36:40.772947
0,41073985.0,HEARTLAND BREWERY,Heartland Brewery,100.0,,2018-11-18 18:03:58.989869
0,40526406.0,CLUB MACANUDO (CIGAR BAR),Club Macanudo,68.0,,2018-11-18 18:07:36.852532
0,40671007.0,PIG & WHISTLE ON 3RD,Pig n Whistle,73.0,,2018-11-18 18:08:43.594536
0,41479731.0,STILLWATER BAR & GRILL,Stillwater Bar & Grill,100.0,,2018-11-18 18:09:30.671128
0,41068920.0,THE SKINNY,The SKINnY Bar & Lounge,61.0,,2018-11-18 18:10:42.131441
0,50012158.0,MEZZROW,Mezzrow,100.0,,2018-11-18 18:11:15.822098
0,41520610.0,BAREBURGER,Bareburger,100.0,,2018-11-18 18:12:28.502189
0,40567533.0,THE THIRSTY SCHOLAR,The Thirsty Scholar,100.0,,2018-11-18 18:13:39.424886
0,41467165.0,CHELSEA PAPAYA,Chelsea Papaya,100.0,,2018-11-18 18:14:33.607976
0,50066911.0,CAFE WATER,Cafe Water,100.0,,2018-11-18 18:21:13.373705
0,40403721.0,SIMPSON THACHER AND BARTLET CAFE,,,-2.0
0,50036696.0,FRIEDMAN'S,Friedmans,95.0,,2018-11-18 18:22:43.570902
0,50074809.0,MOONSTRUCK EATERY,Moonstruck Eatery,100.0,,2018-11-18 18:23:57.106606
0,41156699.0,WOOLWORTH TOWER KITCHEN/THE WOOLY PUBLIC,,,-2.0
0,50053069.0,CONVENE 237 PARK,Convene,61.0,,2018-11-18 18:24:29.459908
0,50005405.0,ARIA,Maria Pia,62.0,,2018-11-18 18:25:53.339384
0,40789156.0,BROOKDALE,Brookdale Tavern & Kitchen,51.0,,2018-11-18 18:26:32.997403
0,41497832.0,INWOOD LOCAL WINE BAR & BEER GARDEN,Inwood Local,51.0,,2018-11-18 18:27:52.499197
0,41464542.0,THE BLUEBELL CAFE,The Bluebell Cafe,100.0,,2018-11-18 18:40:39.924785
0,41304210.0,TOMPKINS SQUARE BAR,Tompkins Square Bar,100.0,,2018-11-18 18:40:59.194679
0,40936973.0,RANDOM HOUSE,Penguin Random House,75.0,,2018-11-18 18:41:14.441510
0,50045947.0,SPRINGBONE KITCHEN,Springbone Kitchen,100.0,,2018-11-18 18:42:35.250228
0,50001633.0,MARYMOUNT COLLEGE NUGENTS CAFE,,,-2.0
0,40738920.0,GEORGE KEELEY,George Keeley,100.0,,2018-11-18 18:44:11.069966
0,40850087.0,MADAME TUSSAUD'S,Madame Tussauds New York,75.0,,2018-11-18 18:45:19.425185
0,41480442.0,ATLANTICA,Atlantica,100.0,,2018-11-18 18:46:16.734176
0,41014823.0,FAT CAT BILLIARDS,Space Billiards,75.0,,2018-11-18 19:07:09.514064
0,40368271.0,CHERRY TAVERN,Cherry Tavern,100.0,,2018-11-18 19:07:59.981897
0,50039444.0,GUCKENHEIMER @ TWITTER CAFE,,,-2.0
0,41016585.0,HQ CLUB,The London Bar,38.0,,2018-11-18 19:08:50.020074
0,41199571.0,BAR  BELLY,Bar Belly,95.0,,2018-11-18 19:09:51.693573
