,CAMIS,DBA,BORO,BUILDING,STREET
0,40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET
1,40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET
2,40367373,JACKSON HOLE,MANHATTAN,232,EAST   64 STREET
3,40368374,JIMMY'S CORNER,MANHATTAN,140,WEST   44 STREET
4,40369165,REIF'S TAVERN,MANHATTAN,302,EAST   92 STREET
5,40370168,EAR INN,MANHATTAN,326,SPRING STREET
6,40383931,FLASH DANCERS,MANHATTAN,1674,BROADWAY
7,40391060,LUKE'S BAR & GRILL,MANHATTAN,1394,THIRD AVENUE
8,40393725,TRIBECA GRILL,MANHATTAN,375,GREENWICH STREET
9,40398561,TOM AND JERRY BAR,MANHATTAN,288,ELIZABETH STREET
10,40399136,ROCKEFELLER U/ABBY BLDG,MANHATTAN,1252,YORK AVENUE
11,40401912,O'NIEALS,MANHATTAN,174,GRAND STREET
12,40401934,BROOKLYN DINER,MANHATTAN,888,7 AVENUE
13,40402424,ANGLERS CLUB OF NEW YORK,MANHATTAN,101,BROAD STREET
14,40402755,THE UNIVERSITY CLUB,MANHATTAN,1,WEST   54 STREET
15,40402788,CBS EMPLOYEE CAFETERIA,MANHATTAN,524,W. 57TH ST
16,40403880,CAFE 101 16TH FLOOR CAFETERIA,MANHATTAN,101,BARCLAY STREET
17,40404010,VOYA CAFETERIA,MANHATTAN,230,PARK AVENUE
18,40424933,CREATIVE CAKES,MANHATTAN,400,EAST   74 STREET
19,40482599,SCHOENFIELD,MANHATTAN,236,WEST   45 STREET
20,40512297,BARRACUDA BAR,MANHATTAN,275,WEST   22 STREET
21,40538766,RED EYE GRILL,MANHATTAN,888,7 AVENUE
22,40545741,BOB'S STEAK & CHOP HOUSE,MANHATTAN,21,EAST   52 STREET
23,40577007,ACME BAR & GRILL,MANHATTAN,9,GREAT JONES STREET
24,40592981,FLUTE,MANHATTAN,205,WEST   54 STREET
25,40603518,"LE PARKER MERIDIEN (NORMA'S, BURGER JOINT)",MANHATTAN,118,WEST   57 STREET
26,40606772,GEMINI DINER,MANHATTAN,641,2 AVENUE
27,40664744,STARBUCKS,MANHATTAN,424,PARK AVENUE SOUTH
28,40701525,"SKADDEN ARPS, SLATE",MANHATTAN,4,TIMES SQUARE
29,40716932,MORRELL WINE BAR & CAFE,MANHATTAN,14,WEST   49 STREET
30,40739412,APPLEBEE'S,MANHATTAN,234,WEST   42 STREET
31,40739883,CAFE CELLO DELI,MANHATTAN,48,WEST   46 STREET
32,40750263,ROOM SERVICE KITCHEN,MANHATTAN,1535,BROADWAY
33,40750279,VIEW RESTAURANT,MANHATTAN,1535,BROADWAY
34,40750612,STROKOS PIZZA DELI,MANHATTAN,888,10 AVENUE
35,40829514,CLINTON STREET BAKING COMPANY,MANHATTAN,4,CLINTON STREET
36,40840750,REUTERS EXECUTIVE DINING ROOM,MANHATTAN,3,TIMES SQUARE
37,40840752,REUTERS CAFETERIA,MANHATTAN,3,TIMES SQUARE
38,40864264,THE VILLAGE TAVERN,MANHATTAN,46,BEDFORD STREET
39,40867057,TIM HORTONS,MANHATTAN,2,PENN PLAZA
40,40868717,ALICE'S TEA CUP,MANHATTAN,102,WEST   73 STREET
41,40874688,BOWERY ELECTRIC,MANHATTAN,327,BOWERY
42,40879245,GRAND HYATT NEW YORK HOTEL,MANHATTAN,0,@ GRAND CENTRAL
43,40886675,CANARD INC,MANHATTAN,503,WEST   43 STREET
44,40891446,HOTEL CARLYLE,MANHATTAN,35,EAST 76 STREET
45,40897685,TSQ BRASSERIE,MANHATTAN,723,7 AVENUE
46,40898366,ASHBY'S SPECIALTY,MANHATTAN,120,BROADWAY
47,40937036,PENELOPE,MANHATTAN,157159,LEXINGTON AVENUE
48,40946956,B-SIDE,MANHATTAN,204,AVENUE B
49,40994615,APPLEBEE'S,MANHATTAN,205,WEST   50 STREET
50,40997838,CAFE METRO,MANHATTAN,14,EAST   42 STREET
51,40998586,TRUMP BAR,MANHATTAN,725,5 AVENUE
52,41017390,EUROPAN CAFE,MANHATTAN,672,8 AVENUE
53,41020286,THE HOUSE OF BREWS,MANHATTAN,363,WEST   46 STREET
54,41071308,RADIO CITY MUSIC HALL,MANHATTAN,1260,AVENUE OF THE AMERICAS
55,41087273,Caf̩ Medi/ Jia Lounge,MANHATTAN,107,RIVINGTON STREET
56,41089876,SARABETH'S,MANHATTAN,40,CENTRAL PARK SOUTH
57,41091396,TEXAS STAR SNACK BAR,MANHATTAN,741,ST NICHOLAS AVENUE
58,41098607,GEORGE'S,MANHATTAN,8789,GREENWICH STREET
59,41127083,MARKET CAFE,MANHATTAN,425,LEXINGTON AVENUE
60,41128262,BRUNO'S CATERING & CAFE,MANHATTAN,282284,1 AVENUE
61,41133245,PEGU CLUB,MANHATTAN,77,WEST HOUSTON STREET
62,41148107,HIDDEN CITY CAFE,MANHATTAN,145,EAST   23 STREET
63,41157511,MORGAN STANLEY,MANHATTAN,1585,BROADWAY
64,41168107,GOTHAM COMEDY CLUB,MANHATTAN,208,WEST   23 STREET
65,41171216,EAST SIDE BILLIARD,MANHATTAN,163,EAST   86 STREET
66,41198338,ROYALE,MANHATTAN,157,AVENUE C
67,41219088,THE WAVERLY INN,MANHATTAN,16,BANK STREET
68,41223396,THE BISTRO (HBO CAFETERIA),MANHATTAN,1100,AVENUE OF THE AMERICAS
69,41223399,GOOGLE CAFETERIA,MANHATTAN,76,9 AVENUE
70,41225392,BAYARD'S ALEHOUSE,MANHATTAN,533,HUDSON STREET
71,41236517,CAFE AMRITA,MANHATTAN,301,WEST  110 STREET
72,41238041,ROPES & GRAY CAFE,MANHATTAN,1211,AVENUE OF THE AMERICAS
73,41270891,WHISKEY TRADER,MANHATTAN,71,WEST   55 STREET
74,41285675,THE BOWERY HOTEL BAR,MANHATTAN,335,BOWERY
75,41286921,CREDIT SUISSE B-2= CAFE,MANHATTAN,11,MADISON AVENUE
76,41308050,RELISH CONCESSIONS (LASKER RINK),MANHATTAN,0,INSIDE CENTRAL PARK/LASKER RINK
77,41312815,MACE,MANHATTAN,649,EAST    9 STREET
78,41314977,THE RUSTY KNOT,MANHATTAN,374,WEST   11 STREET
79,41319530,PAX,MANHATTAN,966,6 AVENUE
80,41324599,PHILLIP MORRIS INTERNATIONAL,MANHATTAN,120,PARK AVENUE
81,41335133,MAMA EATERY,MANHATTAN,46,MULBERRY STREET
82,41336560,TEACHERS COLLEGE/ GRACE DODGE CAFE,MANHATTAN,525,WEST  120 STREET
83,41354251,HAMPTON INN,MANHATTAN,54,WATTS STREET
84,41365614,MANSIONS CATERING,MANHATTAN,4042,WEST    8 STREET
85,41370362,HOUNDSTOOTH PUB,MANHATTAN,520,8 AVENUE
86,41382293,TISSERIE,MANHATTAN,870,7 AVENUE
87,41382808,STUDIO TWENTY ONE,MANHATTAN,59,WEST   21 STREET
88,41399995,DUNKIN' DONUTS,MANHATTAN,80,MADISON AVENUE
89,41407455,CINEMA VILLAGE,MANHATTAN,22,EAST   12 STREET
90,41424474,JOHN JAY DINING HALL,MANHATTAN,515,WEST  114 STREET
91,41441571,FRANKIE'S KITCHEN,MANHATTAN,41,COOPER SQUARE
92,41449587,CASK BAR & KITCHEN,MANHATTAN,167,EAST   33 STREET
93,41453205,THE GREY DOG,MANHATTAN,242,WEST   16 STREET
94,41453613,PROVIDENCE EQUITIES,MANHATTAN,9,WEST   57 STREET
95,41459513,BUONGIORNO ESPRESSO,MANHATTAN,502,9 AVENUE
96,41460700,PIG 'N' WHISTLE,MANHATTAN,202,WEST   36 STREET
97,41478428,BARD BASEMENT FACULTY KITCHEN,MANHATTAN,50,HAVEN AVENUE
98,41479962,CHOCOLAT,MANHATTAN,2217,FREDERICK DOUGLASS BOULEVARD
99,41486386,UMAMI BURGER,MANHATTAN,356,WEST   58 STREET
100,41487277,AUGURS WELL,MANHATTAN,115,ST MARKS PLACE
101,41498521,SUSHI ROXX,MANHATTAN,120,EAST   39 STREET
102,41530089,BROOKLYNEER,MANHATTAN,220,WEST HOUSTON STREET
103,41535441,MAJESTIC DELICATESSEN CAFE,MANHATTAN,200,WEST   50 STREET
104,41546041,HEIDI'S HOUSE BY THE SIDE OF THE ROAD,MANHATTAN,308,EAST   78 STREET
105,41552060,PROSKAUER ROSE,MANHATTAN,11,TIMES SQUARE
106,41557498,ARTIFAKT BAR,MANHATTAN,54,WATTS STREET
107,41566261,BAR CENTRALE,MANHATTAN,322,WEST   46 STREET
108,41568332,THE DUCK,MANHATTAN,2171,2 AVENUE
109,41583726,PRET A MANGER,MANHATTAN,24,WEST   23 STREET
110,41589520,FAIRFIELD INN,MANHATTAN,330,WEST   40 STREET
111,41589635,PRODUCERS LOUNGE,MANHATTAN,358,WEST   44 STREET
112,41595280,E & E Grill House,MANHATTAN,233,WEST   49 STREET
113,41605289,EARL OF SANDWICH,MANHATTAN,1290,AVENUE OF THE AMERICAS
114,41606774,SIDLEY AUSTIN CAFETERIA,MANHATTAN,787,7 AVENUE
115,41611725,BEACON THEATRE SATELLITE BAR,MANHATTAN,2124,BROADWAY
116,41616501,ARGOTEA,MANHATTAN,239,GREENE STREET
117,41618228,FIVE GUYS FAMOUS BURGERS AND FRIES,MANHATTAN,343,7 AVENUE
118,41618267,PHOENIX,MANHATTAN,447,EAST   13 STREET
119,41622776,CAFE AKA,MANHATTAN,330,EAST   56 STREET
120,41623363,DUNKIN' DONUTS,MANHATTAN,1093,2 AVENUE
121,41623475,POTBELLY SANDWICH WORKS,MANHATTAN,501,7 AVENUE
122,41639964,THE little BEET TABLE,MANHATTAN,333,PARK AVENUE SOUTH
123,41640556,COVE LOUNGE,MANHATTAN,325,LENOX AVENUE
124,41645543,HAVEN ROOFTOP / SANCTUARY HOTEL,MANHATTAN,130132,W 47TH ST
125,41647741,THE STANDARD EAST VILLAGE,MANHATTAN,25,COOPER SQUARE
126,41651780,THE GUTHRIE INN,MANHATTAN,1259,PARK AVENUE
127,41655257,ROSENS CAFE,MANHATTAN,2,BROADWAY
128,41664978,GRAMERCY TAVERN,MANHATTAN,42,EAST   20 STREET
129,41676543,BLUE SPOON,MANHATTAN,90,WILLIAM STREET
130,41676577,THE CUTTING ROOM,MANHATTAN,44,EAST   32 STREET
131,41677967,WILMER HALE,MANHATTAN,7,WORLD TRADE CENTER
132,41678691,GOLF & BODY NYC,MANHATTAN,883,6 AVENUE
133,41679646,GREENWICH VILLAGE COMEDY CLUB,MANHATTAN,99,MACDOUGAL STREET
134,41679739,FRAME GOURMET EATERY,MANHATTAN,424,WEST   33 STREET
135,41680991,BLAKE AND TODD,MANHATTAN,52,EAST   53 STREET
136,41683619,PANERA BREAD,MANHATTAN,10,UNION SQUARE EAST
137,41687431,STAMINA GRILL & JUICE BAR,MANHATTAN,80,NASSAU STREET
138,41688349,DUNKIN' DONUTS,MANHATTAN,111,WEST  110 STREET
139,41690590,POURING RIBBONS,MANHATTAN,225,AVENUE B
140,41694146,HU KITCHEN,MANHATTAN,78,5 AVENUE
141,41701052,GREEN CAFE,MANHATTAN,1324,LEXINGTON AVENUE
142,41703804,PENNSYLVANIA 6,MANHATTAN,132,WEST   31 STREET
143,41705503,VANGUARD WINE BAR,MANHATTAN,530,2 AVENUE
144,41706078,AU BON PAIN,MANHATTAN,599,LEXINGTON AVENUE
145,41706596,CAFE TODAY,MANHATTAN,575,LEXINGTON AVENUE
146,41707677,BOULTON & WATT,MANHATTAN,5,AVENUE A
147,41710298,WISE MEN,MANHATTAN,355,BOWERY
148,41711530,GALLAGHER'S,MANHATTAN,228,WEST   52 STREET
149,41721343,COFFEE SHOP DINER,MANHATTAN,442,EAST   14 STREET
150,50000161,CHARLIE BIRD,MANHATTAN,5,KING STREET
151,50000263,India House Club,MANHATTAN,1,HANOVER SQUARE
152,50000489,INSOMNIA COOKIES,MANHATTAN,237,E 53RD ST
153,50000719,THE IMMIGRANT TAP ROOM,MANHATTAN,341,E 9TH ST
154,50001020,MCDONALD'S,MANHATTAN,686,6TH AVE
155,50001520,FRIEDMAN'S,MANHATTAN,132,WEST 31 STREET
156,50001837,THE PENINSULA NEW YORK/ CLEMENT/ THE GOTHAM LOUNGE/ SALON DE NING,MANHATTAN,700,FIFTH AVE
157,50001854,DUNKIN' DONUTS,MANHATTAN,2264,FREDERICK DOUGLASS BLVD
158,50001918,BLACK IRON BURGER,MANHATTAN,540,E. 5TH STREET
159,50002271,MARGAUX,MANHATTAN,5,W. 8TH STREET
160,50002480,CITI CAFE/ROHATYN ROOM,MANHATTAN,881,7TH AVE
161,50002623,LE CAFE COFFEE,MANHATTAN,7,EAST 14TH STREET
162,50005480,HUDSON MALONE,MANHATTAN,218,E 53RD ST
163,50007039,FIVE MILE STONE,MANHATTAN,1640,2ND AVE
164,50007093,PHILIPPE NYC I,MANHATTAN,33,E 60TH ST
165,50007581,AIG 31ST FLOOR CAFE,MANHATTAN,175,WATER ST
166,50011368,Burger Heights,MANHATTAN,177,WADSWORTH AVE
167,50012218,DUNKIN' DONUTS,MANHATTAN,90,BROAD ST
168,50012615,PARK HYATT NEW YORK,MANHATTAN,153,W 57TH ST
