,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Lauren W.,"Easton, PA",17,115,5,5.0,9/9/2015,Good experience with a specialized repair at the commercial property I manage. The job was done to surpass our expectation and we would work with this contractor again.,,,
1,Drew S.,"New York, NY",279,29,22,5.0,1/11/2013,"Audra Franks Painting Company is an extremely professional and very proficient in high end work.  I met them when they painted my restaurant  years ago,  and to this day I will only have them paint my businesses and home. The fact that this company cares enough to use products that are environmentally friendly (and before anyone else was) means a great deal. On a personal note, Audra is a caring person who gives back to her community. When you are looking for someone that does what they say this is the company you want to call.",1,,
